region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
El Marja;1200000.0;290002.0;0;1;0;0;0;0;0;0;1;0
El Araydhia;280000.0;4680.0;0;1;0;0;0;42;1;0;0;0
Chatt Meriem;290000.0;604.0;0;1;0;0;1;0;0;0;0;0
Chatt Meriem;137000.0;1527.0;0;0;0;0;0;0;0;0;0;0
Testour;26000.0;1370000.0;0;0;0;0;0;0;0;0;1;0
Dar Allouche;800000.0;2500.0;0;0;0;0;0;0;0;0;0;0
Kalaa El Kebira;329550.0;25352.0;0;1;0;0;0;26;1;0;0;0
Enfidha;1500000.0;47500.0;0;0;0;0;0;0;0;0;1;0
El Haouaria;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1500000.0;3000.0;0;1;0;0;0;0;0;0;0;0
Bir Drassen;250000.0;85.0;0;0;0;0;0;0;0;0;0;1
Sidi Bou Ali;450000.0;60000.0;0;1;0;0;0;900;1;0;1;0
Hammam El Gheza;1020000.0;600.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;1179000.0;3930.0;0;1;0;0;0;0;0;0;0;0
Mornaguia 20 Ma;500000.0;180002.0;0;0;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;608000.0;6080.0;0;0;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;1970.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;331750.0;1327.0;0;0;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;509600.0;1317.0;0;0;0;0;0;0;0;0;0;1
Ezzahra;1470000.0;980.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1266500.0;745.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;180000.0;10000.0;0;0;0;0;0;0;0;0;0;0
Tamazrat;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;0;0;0;0;0;0;0;0;0;0
Hammam Jebli;1144000.0;880.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;818000.0;818.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;694.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;1000.0;0;1;0;0;0;0;0;0;0;0
